x,y,height,momentum_x
0.01,0.01,7.2836,21.1246
0.03,0.01,7.28142,21.1367
0.05,0.01,7.27946,21.1475
0.07,0.01,7.2777,21.1573
0.09,0.01,7.27614,21.166
0.11,0.01,7.27475,21.1736
0.13,0.01,7.27353,21.1804
0.15,0.01,7.27247,21.1863
0.17,0.01,7.27154,21.1914
0.19,0.01,7.27075,21.1958
0.21,0.01,7.27007,21.1995
0.23,0.01,7.2695,21.2027
0.25,0.01,7.26902,21.2054
0.27,0.01,7.26862,21.2076
0.29,0.01,7.2683,21.2094
0.31,0.01,7.26804,21.2108
0.33,0.01,7.26783,21.212
0.35,0.01,7.26767,21.2129
0.37,0.01,7.26754,21.2135
0.39,0.01,7.26745,21.214
0.41,0.01,7.26739,21.2144
0.43,0.01,7.26735,21.2146
0.45,0.01,7.26733,21.2147
0.47,0.01,7.26732,21.2148
0.49,0.01,7.26732,21.2148
0.51,0.01,7.26734,21.2147
0.53,0.01,7.26735,21.2146
0.55,0.01,7.26738,21.2145
0.57,0.01,7.2674,21.2144
0.59,0.01,7.26743,21.2142
0.61,0.01,7.26746,21.2141
0.63,0.01,7.26749,21.2139
0.65,0.01,7.26752,21.2137
0.67,0.01,7.26755,21.2136
0.69,0.01,7.26758,21.2134
0.71,0.01,7.26761,21.2133
0.73,0.01,7.26764,21.2131
0.75,0.01,7.26767,21.213
0.77,0.01,7.26769,21.2129
0.79,0.01,7.26772,21.2127
0.81,0.01,7.26774,21.2126
0.83,0.01,7.26776,21.2125
0.85,0.01,7.26778,21.2124
0.87,0.01,7.2678,21.2123
0.89,0.01,7.26782,21.2122
0.91,0.01,7.26784,21.2121
0.93,0.01,7.26786,21.2121
0.95,0.01,7.26788,21.212
0.97,0.01,7.26789,21.2119
0.99,0.01,7.26791,21.2118
1.01,0.01,7.26792,21.2118
1.03,0.01,7.26793,21.2117
1.05,0.01,7.26795,21.2117
1.07,0.01,7.26796,21.2116
1.09,0.01,7.26797,21.2116
1.11,0.01,7.26798,21.2115
1.13,0.01,7.26799,21.2115
1.15,0.01,7.268,21.2115
1.17,0.01,7.26801,21.2114
1.19,0.01,7.26802,21.2114
1.21,0.01,7.26803,21.2113
1.23,0.01,7.26804,21.2113
1.25,0.01,7.26805,21.2113
1.27,0.01,7.26806,21.2112
1.29,0.01,7.26807,21.2112
1.31,0.01,7.26808,21.2112
